"300 Let Rossiykomy","ru","Russian names from"
"Legky","ru",
"Leningrad","ru",
"Leningradsky Komsomolets","ru",
"Leopard (K 328)","ru",
"Letuchy","ru",
"Liman","ru",
"Lipetsk (B 177)","ru",
"Liven'","ru",
"MPK 17","ru",
"MPK 28","ru",
"MPK 64","ru",
"MPK 67","ru",
"MPK 82","ru",
"MPK 85","ru",
"MPK 89","ru",
"MPK 99","ru",
"MPK 101","ru",
"MPK 104","ru",
"MPK 105","ru",
"MPK 107","ru",
"MPK 118 Suzdalets","ru",
"MPK 127","ru",
"MPK 134","ru",
"MPK 139","ru",
"MPK 178","ru",
"MPK 191","ru",
"MPK 192","ru",
"MPK 200","ru",
"MPK 205 Kazanets","ru",
"MPK 207","ru",
"MPK 213","ru",
"MPK 214","ru",
"MPK 216","ru",
"MPK 217","ru",
"MPK 219","ru",
"MPK 221","ru",
"MPK 222","ru",
"MPK 224","ru",
"MPK 228","ru",
"MPK 229 Kalmykia","ru",
"MPK 254","ru",
"MPK 291","ru",
"MS 520","ru",
"MS 521","ru",
"Marshal Shaposhnikov","ru",
"Marshal Timoshenko","ru",
"Marshal Ustinov","ru",
"Marshal Vasilevsky","ru",
"Menzhinsky","ru",
"Meteor","ru",
"Metel'","ru",
"Minsk","ru",
"Mirazh","ru",
"Mitrofan Moskalenko","ru",
"Molnija","ru",
"Moroz","ru",
"Morzh (K 412)","ru",
"Moskva","ru",
"Moskva","ru",
"Murmansk (K 206)","ru",
"Musson","ru",
"Nakat","ru",
"Narval (K 331)","ru",
"Nastoychivy","ru",
"Nepristupny","ru",
"Nerpa","ru",
"Neuderzhimyy","ru",
"Neukrotimy","ru",
"Neustrashimy","ru",
"Nikolay Filchenkov","ru",
"Nizhny Novgorod (K 534)","ru",
"Novgorod Veliky (B 452)","ru",
"Novomoskovsk (K 407)","ru",
"Novorossiysk","ru",
"Obninsk (K 138)","ru",
"Obraztsovy","ru",
"Ochakov","ru",
"Odarenny","ru",
"Okrylenny","ru",
"Okun' (K 336)","ru",
"Omsk (K 186)","ru",
"Orel (K 266)","ru",
"Orel","ru",
"Orenburg (K 148)","ru",
"Osmotritelny","ru",
"Otchayanny","ru",
"Otlichnny","ru",
"Pantera (K 317)","ru",
"Passat","ru",
"Perekat","ru",
"Petr Velikiy","ru",
"Petropavlovsk","ru",
"Poryvisty","ru",
"Predanny","ru",
"Priboy","ru",
"Priliv","ru",
"Primerny","ru",
"Provorny","ru",
"Pskov' (K 336)","ru",
"Purga","ru",
"Pylky","ru",
"Pytlivy","ru",
"R 5","ru",
"R 8","ru",
"R 24","ru",
"R 26","ru",
"R 42","ru",
"R 44","ru",
"R 49","ru",
"R 60","ru",
"R 63","ru",
"R 71","ru",
"R 101","ru",
"R 109","ru",
"R 125","ru",
"R 141","ru",
"R 160","ru",
"R 182","ru",
"R 239","ru",
"R 255","ru",
"R 283","ru",
"R 298","ru",
"R 334 Ivanovets","ru",
"Raduga","ru",
"Rassvet","ru",
"Rastoropny","ru",
"Razitelny","ru",
"Razliv","ru",
"Razyashchy","ru",
"Razumny","ru",
"Resitelny","ru",
"Retivy","ru",
"Revnostny","ru",
"Rezky","ru",
"Rezvy","ru",
"Rubin","ru",
"Ryanny","ru",
"Ryazan","ru",
"Rys","ru",
"SS 226","ru",
"SS 256","ru",
"SS 310","ru",
"SS 368","ru",
"SS 533 Forel","ru",
"SSV 169 Tavriya","ru",
"SSV 175 Odograf","ru",
"SSV 201 Priazov'ye","ru",
"SSV 208 Kuril'y","ru",
"SSV 231 Vasiliy Nikitich Tatishchev","ru",
"SSV 506 Nakhodka","ru",
"SSV 520 Meridian","ru",
